spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0512_10g_3_3p2.csv
limit_error:	6
noise_limit:	2500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1517.191584	10	245058342.31201926	RNA	-1.71	0.09	C449H554N182O329P46	
1542.310937	10	91988571056.19	RNA+CMCT	-2.08	0.02	C463H579N185O330P46	
1698.795315	9	17065714.04851	RNA+CMCT-A	4.16	0.44	C458H574N180O330P46	
1528.812282	10	5096944434.3	RNA+CMCT-A	2.34	0.05	C458H574N180O330P46	
1696.793898	9	20419405.698647823	RNA+CMCT-A-H2O	4.02	0.33	C458H572N180O329P46	
1531.211061	10	1736563363.41	RNA+CMCT-C	0.81	0.06	C459H574N182O329P46	
1699.462351	9	11475903.465623705	RNA+CMCT-C-H2O	4.33	0.35	C459H572N182O328P46	
1697.016679	9	38979180.60702757	RNA+CMCT-G	3.32	0.22	C458H574N180O329P46	
1527.212298	10	6807740461.84	RNA+CMCT-G	2.02	0.02	C458H574N180O329P46	
1525.412696	10	301906081.12012756	RNA+CMCT-G-H2O	2.98	0.07	C458H572N180O328P46	
1540.517226	10	2016967156.73	RNA+CMCT-H2O	2.68	0.06	C463H577N185O329P46	
1502.086015	10	23249240.30879722	RNA-G	-2.14	0.38	C444H549N177O328P46	
1515.402274	10	82501138.40332982	RNA-H2O	6.04	0.19	C449H552N182O328P46	
803.11802	1	7781473.97	a03-G	-1.58	0.25	C25H30N10O17P2	
891.76443	3	14782749.92	a09-G	-0.51	0.26	C80H98N26O63P8	
1279.596828	5	13662666.046003176	a19+CMCT	-3.51	0.35	C197H248N80O132P18	
1337.169334	5	22925628.79	a21-A	-0.84	0.36	C198H242N82O144P20	
1547.598917	5	22339388.899964776	a24	-0.53	0.35	C230H281N94O167P23	
1520.587363	5	24266588.37	a24-A	-0.97	0.39	C225H276N89O167P23	
1850.893785	6	13246782.357617632	a35-G	0.53	0.44	C328H404N126O247P34	
1556.443527	8	23136857.554303657	a39-G	0.49	0.3	C368H452N146O273P38	
1545.639798	9	84166702.34199946	a43	-0.28	0.2	C412H504N168O301P42	
2001.842483	7	16875151.19	a43+CMCT-G	-2.11	0.43	C421H524N166O301P42	
1582.206308	9	19713335.2682725	a44	2.96	0.36	C422H516N173O307P43	
1677.891407	9	20584402.84	a46+CMCT	-4.92	0.44	C454H565N182O322P45	
689.087543	1	31567656.21	c02	-0.07	0.05	C20H24N10O14P2	
538.03727	1	5754596.58	c02-G	-1.7	0.16	C15H19N5O13P2	
1034.134793	1	39657437.16	c03	-0.23	0.09	C30H36N15O21P3	
1340.15854	1	13190213.96	c04	-1.34	0.16	C39H47N17O29P4	
669.575649	2	19555972.8	c04	-1.31	0.05	C39H47N17O29P4	
822.589294	2	60249660.62	c05	0.14	0.06	C48H58N19O37P5	
975.110644	2	94230317.7	c06	0.84	0.08	C57H70N22O44P6	
1128.122064	2	79921211.56	c07	-0.36	0.1	C66H81N24O52P7	
1281.136648	2	112551625.18	c08	1.19	0.04	C75H92N26O60P8	
853.754534	3	104860413.7	c08	0.25	0.04	C75H92N26O60P8	
1453.662648	2	36659418.35	c09	2.62	0.12	C85H104N31O67P9	
968.770794	3	167327063.14	c09	0.68	0.04	C85H104N31O67P9	
1083.785915	3	244380495.03	c10	-0.03	0.03	C95H116N36O74P10	
1198.802421	3	114407279.43	c11	0.55	0.08	C105H128N41O81P11	
1148.455565	3	31800470.56	c11-G	3.14	0.1	C100H123N36O80P11	
1308.48477	3	201627024.37	c12	-0.89	0.02	C115H140N46O87P12	
1423.499233	3	51808971.04	c13	-1.76	0.2	C125H152N51O94P13	
1525.188137	3	56700720.08	c14	3.91	0.32	C134H164N54O101P14	
1634.86222	3	48739343.84	c15	-2.52	0.14	C144H176N59O107P15	
1288.698521	4	131000637.45	c15+CMCT	0.5	0.06	C158H201N62O108P15	
1312.162285	4	49420697.02	c16	1.9	0.11	C154H188N64O114P16	
1851.560903	3	19930135.320372388	c17	-0.91	0.42	C163H200N67O121P17	
1470.685121	4	75858414.65	c18	1.27	0.16	C173H212N72O127P18	
1556.947771	4	58577574.30364163	c19	1.71	0.1	C183H224N77O134P19	
1245.353037	5	193968076.16	c19	-1.28	0.05	C183H224N77O134P19	
1314.364947	5	30807180.89	c20	0.63	0.27	C193H236N82O141P20	
1750.512381	4	25846473.21	c21+CMCT-G	2.68	0.39	C212H268N85O147P21	
1801.972301	4	18661767.6	c22	-2.29	0.41	C212H259N89O155P22	
1502.589578	5	9825908.56801596	c23	3.22	0.54	C221H270N91O163P23	
1251.986964	6	174547889.66	c23	0.71	0.03	C221H270N91O163P23	
1552.831383	5	31155200.51	c23+CMCT	4.31	0.35	C235H295N94O164P23	
1293.851146	6	105188824.36	c23+CMCT	-1.2	0.09	C235H295N94O164P23	
1302.824955	6	65389013.05	c24	-1.02	0.13	C230H282N94O170P24	
2017.545891	4	50945290.13649733	c24+CMCT	1.43	0.26	C244H307N97O171P24	
1344.69269	6	110949352.53	c24+CMCT	-0.17	0.08	C244H307N97O171P24	
1402.200505	6	35098994.57	c25+CMCT	-0.23	0.18	C254H319N102O178P25	
1453.209672	6	31205396.26	c26+CMCT	3.19	0.37	C263H330N104O186P26	
1504.051086	6	37136305.78	c27+CMCT	3.88	0.27	C272H342N107O193P27	
1289.03569	7	15955378.08	c27+CMCT	-1.6	0.45	C272H342N107O193P27	
1296.729596	7	31938239.9	c28	0.16	0.18	C267H329N107O199P28	
1332.614983	7	52450436.51	c28+CMCT	-0.07	0.11	C281H354N110O200P28	
1564.023816	6	17252652.087817412	c29	0.49	0.43	C276H340N109O207P29	
1340.445338	7	63999100.73091446	c29	-1.46	0.14	C276H340N109O207P29	
